斗鱼,#genre#
斗鱼万万没想到,http://dyscdnali1.douyucdn.cn/live/9220456r3ZdVVaFO.flv?uuid=
斗鱼五分钟一部电影,http://dyscdnali1.douyucdn.cn/live/2758565rWlYm94Z0.flv?uuid=
斗鱼动漫解说,http://dyscdnali1.douyucdn.cn/live/9527700rlUbABTnT.flv?uuid=
斗鱼车评,http://tx2play1.douyucdn.cn/live/321987r8e6tCsPR_4000.xs?uuid=
斗鱼周杰伦,http://dyscdnali1.douyucdn.cn/live/5635000rcDwAbhv8.flv?uuid=
斗鱼李子柒,http://dyscdnali1.douyucdn.cn/live/2901080rklQrS28T.flv?uuid=
斗鱼美食,http://dyscdnali1.douyucdn.cn/live/8144937rea8S5ih3.flv?uuid=
斗鱼搞笑,http://dyscdnali1.douyucdn.cn/live/9770949r2wuNEKVM.flv?uuid=
斗鱼世界未解之谜,http://dyscdnali1.douyucdn.cn/live/9369468rqj3hUzs7.flv?uuid=
斗鱼历史人物,http://dyscdnali1.douyucdn.cn/live/9738854rtqA32ES1.flv?uuid=
斗鱼科普1,http://dyscdnali1.douyucdn.cn/live/9317739rlM9CLQBL.flv?uuid=
斗鱼科普2,http://dyscdnali1.douyucdn.cn/live/9447974rzRJIAdDQ.flv?uuid=
斗鱼韩国综艺1,http://dyscdnali1.douyucdn.cn/live/131977rb5GOrl6uS.flv?uuid=
斗鱼韩国综艺2,http://dyscdnali1.douyucdn.cn/live/7298973rVquPyzCT.flv?uuid=
斗鱼韩国女团1,http://dyscdnali1.douyucdn.cn/live/17732rtara.flv?uuid=
斗鱼韩国女团2,http://dyscdnali1.douyucdn.cn/live/231464rNBvAvw55m.flv?uuid=


电影-联播12[1920*1080],http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
电影6_斗鱼,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv?uuid=
电影-联播15[1920*1080],http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv?uuid=
电影21_斗鱼,http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv?uuid=
电影44_斗鱼,http://dyscdnali1.douyucdn.cn/live/2935323rnTpNsu74.flv?uuid=
电影-联播14[1920*1080],http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv?uuid=
电影16_斗鱼,http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv?uuid=
电影14_斗鱼,http://dyscdnali1.douyucdn.cn/live/3637765rrt97QwBF.flv?uuid=
电影-联播11[1280*720],http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
电影5_斗鱼,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
电影-联播16[1280*720],http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv?uuid=
电影18_斗鱼,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv?uuid=
连续剧-三国演义[960*540],http://dyscdnali1.douyucdn.cn/live/7459925rLzyH2qb0.flv?uuid=
电影-联播13[1920*1080],http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
电影8_斗鱼,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv?uuid=
