央视卫视,#genre#
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV-12社会与法,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV-13新闻,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
CCTV-13新闻,http://111.40.205.87/PLTV/88888888/224/3221225599/index.m3u8
CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV-16奥林匹克,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-17农业农村,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8
CCTV-新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
中国供销社,https://38649.hlsplay.aodianyun.com/guangdianyun_38649/program_live_channel_34275.m3u8
电视指南,http://tjy2002.vicp.net:4022/udp/239.253.43.19:5146
高尔夫网球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
央视文化精品,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
兵器科技,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
第一剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
世界地理,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
风云足球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
老故事,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225677/1/index.m3u8?fmt=ts2hls
摄影频道,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225683/1/index.m3u8?fmt=ts2hls
国学频道,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225692/1/index.m3u8?fmt=ts2hls
早期教育,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225679/1/index.m3u8?fmt=ts2hls
中学生,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225663/1/index.m3u8?fmt=ts2hls
发现之旅,http://39.134.24.202/PLTV/88888888/224/3221225879/index.m3u8
CGTN Documentary,https://livedoc.cgtn.com/500d/prog_index.m3u8
CETV1,http://nas.330421.cn:8000/iptv/cetv/?id=451
CETV2,http://nas.330421.cn:8000/iptv/cetv/?id=450
CETV3,http://nas.330421.cn:8000/iptv/cetv/?id=449
CETV4,http://nas.330421.cn:8000/iptv/cetv/?id=447
DOX映画,http://39.135.9.77:80/gz.ucdn.10086.cn/PLTV/88888888/224/3221226039//index.m3u8?fmt=ts2hls
DOX新知,http://39.135.9.77:80/gz.ucdn.10086.cn/PLTV/88888888/224/3221226014/1/index.m3u8?fmt=ts2hls
DOX新艺,http://39.135.9.77:80/gz.ucdn.10086.cn/PLTV/88888888/224/3221226017/1/index.m3u8?fmt=ts2hls
DOX雅趣,http://39.135.9.77:80/gz.ucdn.10086.cn/PLTV/88888888/224/3221226042/1/index.m3u8?fmt=ts2hls
DOX怡家,http://39.135.9.77:80/gz.ucdn.10086.cn/PLTV/88888888/224/3221226016/1/index.m3u8?fmt=ts2hls
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
音乐现场,http://120.221.5.113:8089/PLTV/88888888/224/3221226059/index.m3u8
金鹰纪实,http://120.221.44.101:8089/PLTV/88888888/224/3221225998/1.m3u8
海看少儿,http://120.221.5.113:8089/PLTV/88888888/224/3221225943/index.m3u8
海看剧场,http://120.221.5.113:8089/PLTV/88888888/224/3221226053/index.m3u8
海看宠物,http://120.221.5.113:8089/PLTV/88888888/224/3221226071/index.m3u8
海看演艺,http://120.221.5.113:8089/PLTV/88888888/224/3221226027/index.m3u8
海看健康,http://120.221.5.113:8089/PLTV/88888888/224/3221226039/index.m3u8
海看热播,http://120.221.44.101:8089/PLTV/88888888/224/3221225878/1.m3u8
搜索纪实,http://39.134.176.253/PLTV/88888888/224/3221226179/index.m3u8
纪实人文,http://39.134.115.163:8080/PLTV/88888910/224/3221225655/index.m3u8
G+TV4K,http://39.135.10.66/gz.ucdn.10086.cn/PLTV/88888888/224/3221226019/1/index.m3u8?fmt=ts2hls
G+TV1,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226013/1/index.m3u8?fmt=ts2hls
G+TV2,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226014/1/index.m3u8?fmt=ts2hls
G+TV3,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226016/1/index.m3u8?fmt=ts2hls
G+TV4,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226017/1/index.m3u8?fmt=ts2hls
G+TV5,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226020/1/index.m3u8?fmt=ts2hls
G+TV6,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226039/1/index.m3u8?fmt=ts2hls
G+TV7,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226042/1/index.m3u8?fmt=ts2hls
G+TV8,http://39.135.9.77/gz.ucdn.10086.cn//PLTV/88888888/224/3221226045/1/index.m3u8?fmt=ts2hls
G+热门综艺,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221226004//index.m3u8?fmt=ts2hls
G+经典剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225782/1/index.m3u8?fmt=ts2hls
G+都市剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225783/1/index.m3u8?fmt=ts2hls
G+谍战剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225784/1/index.m3u8?fmt=ts2hls
G+动画乐园,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225785/1/index.m3u8?fmt=ts2hls
G+海外佳片,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225786/1/index.m3u8?fmt=ts2hls
G+华语影院,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225787/1/index.m3u8?fmt=ts2hls
海豚少儿,rtsp://61.132.204.137/PLTV/88889017/224/3221226560/10000100000000060000000002858743_0.smil
首映电影,http://szdl.3322.org:8888/rtp/233.50.201.239:5140
动作电影,http://szdl.3322.org:8888/rtp/233.50.201.232:5140
环球电影,http://szdl.3322.org:8888/rtp/233.50.201.231:5140
欧美电影,http://szdl.3322.org:8888/rtp/233.50.201.230:5140
华语电影,http://szdl.3322.org:8888/rtp/233.50.201.240:5140
电影18,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226302/1.m3u8
淘电影,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8
IPTVTV4K,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
IPTV剧场,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/1.m3u8
IPTV娱乐,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226551/1.m3u8
北京BABY,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226554/1.m3u8
北京IPTV萌宠,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226555/1.m3u8
北京IPTV大健康,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226556/1.m3u8
北京文艺,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
北京新闻,http://221.179.136.140/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
北京影视,http://221.179.136.150/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226486/1.m3u8
凤凰中文,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8
凤凰资讯,http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
电视剧1台,http://112.50.243.8/PLTV/88888888/224/3221225881/1.m3u8
电视剧2台,http://112.50.243.8/PLTV/88888888/224/3221226692/1.m3u8
电视剧3台,http://112.50.243.8/PLTV/88888888/224/3221226754/1.m3u8
江苏卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225930/index.m3u8
江西卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227022/index.m3u8
山东卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225943/index.m3u8
广东卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/index.m3u8
广东卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226946/index.m3u8
东南卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226877/index.m3u8
东方卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/index.m3u8
东方卫视 ,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226873/index.m3u8
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/index.m3u8
天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/index.m3u8
天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225941/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226942/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225945/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226928/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225934/index.m3u8
深圳卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/index.m3u8
深圳卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225938/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226863/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225948/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226924/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225935/index.m3u8
贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226827/index.m3u8
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225947/index.m3u8
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226881/index.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/index.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227006/index.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
湖北卫视,http://39.134.39.39/PLTV/88888888/224/3221226159/index.m3u8
东南卫视,http://39.134.39.39/PLTV/88888888/224/3221226182/index.m3u8
甘肃卫视,http://39.134.39.37/PLTV/88888888/224/3221226240/index.m3u8
广西卫视,http://39.130.215.156:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8?IASHttpSessionId=OTT13459420200901121619062032
广西卫视,http://39.130.215.155:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8?IASHttpSessionId=OTT13459420200901121619062032
广西卫视,http://001.jilu8.cn/hls/gxhd.m3u8
广西卫视,http://39.130.215.156:6610/gitv_live/G_GUANGXI-HD/G_GUANGXI-HD.m3u8
吉林卫视,http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-businessmbble/live/jilinstv/1.m3u8?IAS
重庆卫视,http://39.130.206.213:6410/gitv_live/G_CHONGQING-HD/G_CHONGQING-HD.m3u8 
厦门卫视,http://cstvpull.live.wscdns.com/live/xiamen.flv
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8
东南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000310/index.m3u8
东方卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000309/index.m3u8
北京卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000302/index.m3u8
天津卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000327/index.m3u8
安徽卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000328/index.m3u8
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000301/index.m3u8
广东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000307/index.m3u8
江苏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000304/index.m3u8
河北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000330/index.m3u8
浙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000305/index.m3u8
深圳卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000308/index.m3u8
湖北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000325/index.m3u8
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000324/index.m3u8
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8
辽宁卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8
黑龙江卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000306/index.m3u8
黑龙江卫视,http://cbnlive.cbchot.com/live/yt_heilongjiangweishi_h_1.m3u8
辽宁卫视,http://cbnlive.cbchot.com/live/ty_liaoningweishi_h_1.m3u8
北京卫视,http://cbnlive.cbchot.com/live/bjswsyth_1.m3u8
天津卫视,http://cbnlive.cbchot.com/live/yt_tianjinweishi_h_1.m3u8
河北卫视,http://cbnlive.cbchot.com/live/yt_henanweishi_h_1.m3u8
山东卫视,http://cbnlive.cbchot.com/live/yt_shandongweishi_h_1.m3u8
东方卫视,http://cbnlive.cbchot.com/live/yt_dongfangweishi_h_1.m3u8
东南卫视,http://cbnlive.cbchot.com/live/yt_dongnan_h_1.m3u8
浙江卫视,http://cbnlive.cbchot.com/live/yt_zhejiangweishi_h_1.m3u8
江苏卫视,http://cbnlive.cbchot.com/live/yt_jiangsuweishi_h_1.m3u8
江西卫视,http://cbnlive.cbchot.com/live/ty_jiangxiweishi_h_1.m3u8
安徽卫视,http://cbnlive.cbchot.com/live/yt_anhui_h_1.m3u8
湖北卫视,http://cbnlive.cbchot.com/live/yt_hubei_h_1.m3u8
广东卫视,http://cbnlive.cbchot.com/live/yt_guangdongweishi_h_1.m3u8
深圳卫视,http://cbnlive.cbchot.com/live/yt_shenzhenweishi_h_1.m3u8
广西卫视,http://m.iptv345.com/?act=play&token=45ce14f50bdbf5bd10ecde87d82612d6&tid=ws&id=22
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
山西卫视,http://124.165.212.56:1024/hls/051/index.m3u8
山西卫视,http://player.ioioz.com:80/1786/hunan/hnyx2m3u8.php?id=54
云南卫视,http://39.130.206.213:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
陕西卫视,http://61.151.179.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
宁夏卫视,http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=6
内蒙卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8
新疆卫视,http://stream.guihet.com/tv/xjtvs.php?id=1
四川卫视,http://39.134.39.39/PLTV/88888888/224/3221226307/index.m3u8
河南卫视,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
河南卫视,http://39.135.139.214:6610/PLTV/88888888/224/3221225611/2/index.m3u8
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil?icpid=88888888
海南卫视,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
海南卫视，http://stream6.fjtv.net/haixia/sd/live.m3u8?_upt=29d4c2421596383852&drm
浙江卫视,http://101.71.255.229:6610/zjhs/2/10059/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖南卫视,http://101.71.255.229:6610/zjhs/2/10024/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
东南卫视,http://101.71.255.229:6610/zjhs/2/10010/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
安徽卫视,http://101.71.255.229:6610/zjhs/2/10003/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
贵州卫视,http://101.71.255.229:6610/zjhs/2/10015/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江西卫视,http://101.71.255.229:6610/zjhs/2/10029/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
天津卫视,http://101.71.255.229:6610/zjhs/2/10048/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
黑龙江卫视,http://101.71.255.229:6610/zjhs/2/10020/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
四川卫视,http://101.71.255.229:6610/zjhs/2/10046/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖北卫视,http://101.71.255.229:6610/zjhs/2/10022/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山东卫视,http://101.71.255.229:6610/zjhs/2/10040/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
深圳卫视,http://101.71.255.229:6610/zjhs/2/10045/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
广东卫视,http://101.71.255.229:6610/zjhs/2/10013/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江苏卫视,http://101.71.255.229:6610/zjhs/2/10028/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
东方卫视,http://101.71.255.229:6610/zjhs/2/10009/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
北京卫视,http://101.71.255.229:6610/zjhs/2/10005/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河北卫视,http://101.71.255.229:6610/zjhs/2/10017/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
内蒙卫视,http://101.71.255.229:6610/zjhs/2/10035/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
安徽卫视,http://101.71.255.229:6610/zjhs/2/10002/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
兵团卫视,http://101.71.255.229:6610/zjhs/2/10006/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
东方卫视,http://101.71.255.229:6610/zjhs/2/10008/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
东南卫视,http://101.71.255.229:6610/zjhs/2/10010/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
甘肃卫视,http://101.71.255.229:6610/zjhs/2/10011/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
广东卫视,http://101.71.255.229:6610/zjhs/2/10012/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
广西卫视,http://101.71.255.229:6610/zjhs/2/10014/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
河南卫视,http://124.165.212.56:1024/hls/041/index.m3u8
河南卫视,http://101.71.255.229:6610/zjhs/2/10018/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖北卫视,http://101.71.255.229:6610/zjhs/2/10021/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖南卫视,http://101.71.255.229:6610/zjhs/2/10023/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
吉林卫视,http://101.71.255.229:6610/zjhs/2/10025/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
江苏卫视,http://101.71.255.229:6610/zjhs/2/10027/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
辽宁卫视,http://101.71.255.229:6610/zjhs/2/10032/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
海南卫视,http://101.71.255.229:6610/zjhs/2/10034/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
宁夏卫视,http://101.71.255.229:6610/zjhs/2/10036/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
青海卫视,http://101.71.255.229:6610/zjhs/2/10038/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山东卫视,http://101.71.255.229:6610/zjhs/2/10039/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
山西卫视,http://101.71.255.229:6610/zjhs/2/10041/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
陕西卫视,http://101.71.255.229:6610/zjhs/2/10042/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
深圳卫视,http://101.71.255.229:6610/zjhs/2/10044/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
四川卫视,http://101.71.255.229:6610/zjhs/2/10046/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
天津卫视,http://101.71.255.229:6610/zjhs/2/10047/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
西藏卫视,http://101.71.255.229:6610/zjhs/2/10049/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
新疆卫视,http://101.71.255.229:6610/zjhs/2/10050/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
云南卫视,http://101.71.255.229:6610/zjhs/2/10054/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
浙江卫视,http://101.71.255.229:6610/zjhs/2/10058/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
重庆卫视,http://101.71.255.229:6610/zjhs/2/10081/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
延边卫视,http://live.ybtvyun.com/video/s10006-a772df604950/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
南方卫视,http://39.134.156.12/PLTV/88888888/224/3221225614/index.m3u8
广东珠江,http://39.135.38.13/PLTV/88888888/224/3221226515/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
南方卫视,http://211.137.115.110:8080/gitv_live/G_NANFANG/G_NANFANG.m3u8
澳视卫星,http://61.244.22.4/ch3/ch3.live/index.m3u8
北京卫视,http://219.147.162.117:65530/live/bjws/index.m3u8
深圳卫视,http://219.147.162.117:65530/live/szws/index.m3u8
安徽卫视,http://219.147.162.117:65530/live/ahws/index.m3u8
吉林卫视,http://219.147.162.117:65530/live/jlws/index.m3u8
江苏卫视,http://219.147.162.117:65530/live/jsws/index.m3u8
天津卫视,http://219.147.162.117:65530/live/tjws/index.m3u8
辽宁卫视,http://219.147.162.117:65530/live/lnws/index.m3u8
东方卫视,http://219.147.162.117:65530/live/dfws/index.m3u8
黑龙江卫视,http://219.147.162.117:65530/live/hljws/index.m3u8
湖南卫视,http://219.147.162.117:65530/live/hunanws/index.m3u8
浙江卫视,http://219.147.162.117:65530/live/zjws/index.m3u8
晋江卫视,http://stream.jinjiang.tv/1/sd/live.m3u8
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8
东方影视,http://124.75.27.195:8114/index.m3u8?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=1&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Fsv_CMSID=&Fsv_otype=1&Provider_id=0&Pcontent_id=.m3u8
